player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
973533,Emiliano Martínez,32.0,M,True,17/08/1999,17/08/1999,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,13,6.5,0,0,1999,27,False,0.0
1015733,Ramón Sosa,19.0,F,True,31/08/1999,31/08/1999,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,13,6.2,0,0,1999,27,False,0.0
1021716,Guilherme Vicentini Castellani,1.0,G,False,25/05/2000,25/05/2000,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.7,0,0,2000,26,False,0.0
1016736,Thomás,2.0,D,False,12/12/1997,12/12/1997,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.8,0,1,1997,29,False,0.0
1184837,Gustavo,3.0,D,False,24/09/2004,24/09/2004,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.4,0,0,2004,22,True,0.0
986127,Victor Luiz,4.0,D,False,03/04/1997,03/04/1997,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.4,0,0,1997,29,False,0.0
1590414,Paulo Amorim,6.0,D,False,18/07/2004,18/07/2004,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.8,0,0,2004,22,True,0.0
1096967,Lucas Alisson,5.0,M,False,13/05/1999,13/05/1999,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.6,0,0,1999,27,False,0.0
1391262,Guthierres Sales de Oliveira,11.0,M,False,25/05/2001,25/05/2001,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,67,6.5,0,0,2001,25,False,0.0
2171946,Emmanuel de Andrade  Egydio de Souza,9.0,M,False,29/10/2006,29/10/2006,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,67,6.6,0,0,2006,20,True,0.0
880122,Elvis,8.0,M,False,16/02/1996,16/02/1996,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,6.8,0,0,1996,30,False,0.0
2026435,Daniel Davi Simão Roque,10.0,M,False,15/06/2005,15/06/2005,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,90,8.7,2,0,2005,21,True,0.0
1021330,Matheus Sacramento,14.0,F,False,13/03/1999,13/03/1999,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,48,7.7,1,1,1999,27,False,0.0
2214562,Thierry Hanry Praxedes Conti,23.0,M,True,13/06/2007,13/06/2007,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,52,7.0,1,0,2007,19,True,0.0
1588093,Jhonatas da Silva Carvalho,20.0,M,True,12/11/2004,12/11/2004,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,33,6.7,0,1,2004,22,True,0.0
1174549,Juan Kelsen,7.0,F,True,24/03/2002,24/03/2002,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,25,6.5,0,0,2002,24,False,0.0
2027888,Leonardo Gasco Silva Suzano,16.0,M,True,02/03/2005,02/03/2005,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,8,6.7,0,0,2005,21,True,0.0
1545982,Davi Castro,15.0,D,True,03/05/2003,03/05/2003,EC Santo André,EC São Bento,6966.0,6967.0,home,15180161,07/03/2026,Paulista A2,0.65,3,0.0,0,0,2003,23,True,0.0
